x,y,z
"-0,448546907","-1,10488913","0,151549147"
"-0,394534199","-1,032492334","0,084662082"
"-0,343569218","-0,961666882","0,018859699"
"-0,295343404","-0,893104972","-0,045187215"
"-0,249529682","-0,827166189","-0,107068982"
"-0,205815479","-0,764094887","-0,166465579"
"-0,163889966","-0,704132313","-0,223059615"
"-0,123466037","-0,647406502","-0,276624215"
"-0,084213196","-0,594000541","-0,326958139"
"-0,045913134","-0,543803932","-0,374023116"
"-0,008347544","-0,49670618","-0,417780872"
"0,028701883","-0,452596785","-0,458193134"
"0,065418931","-0,411331706","-0,495245402"
"0,102001424","-0,372724394","-0,528961776"
"0,13856292","-0,336553408","-0,559384243"
"0,175210194","-0,302594521","-0,586556203"
"0,212050019","-0,270623508","-0,610521053"
"0,249121004","-0,240406691","-0,631264983"
"0,286597121","-0,211719285","-0,648934714"
"0,324526341","-0,184319604","-0,663559843"
"0,362912241","-0,157960703","-0,675127482"
"0,401758399","-0,132395642","-0,68362474"
"0,441068391","-0,107377477","-0,689038729"
"0,480845797","-0,082659265","-0,691356557"
"0,521094193","-0,057994064","-0,690565335"
"0,561672521","-0,033068708","-0,686500507"
"0,602688691","-0,00770174","-0,679251394"
"0,644236173","0,018306853","-0,668861154"
"0,68614393","0,045285203","-0,655090315"
"0,728240922","0,073561437","-0,637699403"
"0,770356112","0,103463685","-0,616448947"
"0,812318462","0,135320076","-0,591099473"
"0,853956933","0,169458739","-0,561411509"
"0,895100488","0,206207804","-0,527145583"
"0,935553727","0,245893864","-0,488054767"
"0,97502492","0,288900789","-0,443761572"
"1,013179394","0,335660657","-0,393842463"
"1,04948117","0,386574449","-0,33786019"
"1,083394272","0,442043143","-0,275377502"
"1,114371859","0,502460558","-0,205959592"
"1,141708","0,568180858","-0,129178526"
"1,164544801","0,639481716","-0,044667755"
"1,181950831","0,71659025","0,047902261"
"1,192794365","0,79947931","0,148620755"
"1,195872097","0,887984781","0,257442787"
"1,18983071","0,981638525","0,374027573"
"1,173302878","1,079317019","0,497342342"
"1,144662571","1,180097465","0,626600681"
"1,102449134","1,281959897","0,759867018"
"1,04564991","1,381816093","0,894027576"
"0,973405075","1,476640685","1,026017651"
"0,884979237","1,562858328","1,152200713"
"0,780355042","1,635831774","1,267782956"
"0,661344682","1,691518455","1,368394975"
"0,529761609","1,725913289","1,449705689"
"0,388037552","1,735546804","1,507884594"
"0,2399795","1,717594375","1,539579139"
"0,089603875","1,672551114","1,544787583"
"-0,059230323","1,601059977","1,52366424"
"-0,202305012","1,505176109","1,477703817"
"-0,336507584","1,388970451","1,410444883"
"-0,459811904","1,257121168","1,326102453"
"-0,570340663","1,11430447","1,22889341"
"-0,667258879","0,96540602","1,123266092"
"-0,750689265","0,814614604","1,013042127"
"-0,821040412","0,66570592","0,901659502"
"-0,8792043","0,521580549","0,791744442"
"-0,926243009","0,384288271","0,685127566"
"-0,963396254","0,255716775","0,58349415"
"-0,991827715","0,136563307","0,487448557"
"-1,012628421","0,027168097","0,397267996"
"-1,026843966","-0,072198283","0,313171307"
"-1,035507416","-0,161618586","0,235068938"
"-1,039395645","-0,24152107","0,162599373"
"-1,039180532","-0,312411364","0,095342703"
"-1,035494618","-0,374789021","0,03289279"
"-1,028950544","-0,429260343","-0,025244122"
"-1,019993235","-0,47644638","-0,079534474"
"-1,008946232","-0,51692631","-0,130381358"
"-0,99613308","-0,551279311","-0,178187867"
"-0,981857718","-0,580065309","-0,223335747"
"-0,966384278","-0,603850295","-0,266195548"
"-0,949898564","-0,623122321","-0,307049767"
"-0,932538992","-0,638309215","-0,346119039"
"-0,914443979","-0,649838808","-0,383623997"
"-0,895738986","-0,65811708","-0,419766382"
"-0,876534617","-0,66354015","-0,454728181"
"-0,856897136","-0,66642234","-0,488623608"
"-0,836876495","-0,667046457","-0,52154217"
"-0,816522645","-0,665695303","-0,553573374"
"-0,795871435","-0,662616879","-0,584787445"
"-0,774967985","-0,658095556","-0,615261341"
"-0,753822521","-0,652321724","-0,645024418"
"-0,732435358","-0,645459044","-0,674093077"
"-0,710806811","-0,637671177","-0,70248372"
"-0,688937198","-0,629121784","-0,730212748"
"-0,666822741","-0,619958567","-0,757293042"
"-0,644454995","-0,610325728","-0,783727751"
"-0,621817833","-0,600333084","-0,809512919"
"-0,598888987","-0,590062013","-0,834640566"
"-0,575646193","-0,579593896","-0,859102715"
"-0,552067182","-0,569010109","-0,882891386"
"-0,528129242","-0,558383627","-0,905999331"
"-0,503807039","-0,547779458","-0,928416436"
"-0,479073726","-0,537269935","-0,950129654"
"-0,453900536","-0,526883235","-0,97113074"
"-0,428258699","-0,516647537","-0,991411453"
"-0,402119445","-0,506591017","-1,01096355"
