x,y,z
"0,2865971214","-0,2117192851","-0,6489347135"
"0,3245263412","-0,1843196035","-0,663559843"
"0,362912241","-0,1579607034","-0,6751274819"
"0,4017583985","-0,132395642","-0,6836247404"
"0,4410683913","-0,1073774767","-0,6890387287"
"0,480845797","-0,082659265","-0,6913565567"
"0,5210941933","-0,0579940642","-0,6905653348"
"0,561672521","-0,03306870769","-0,6865005071"
"0,6026886911","-0,007701740383","-0,679251394"
"0,6442361733","0,01830685338","-0,668861154"
"0,6861439297","0,04528520275","-0,6550903146"
"0,728240922","0,07356143687","-0,637699403"
"0,7703561121","0,1034636849","-0,6164489466"
"0,8123184619","0,1353200759","-0,5910994729"
"0,8539569332","0,1694587392","-0,5614115092"
"0,8951004879","0,2062078038","-0,5271455829"
"0,9355537274","0,2458938642","-0,4880547673"
"0,9750249205","0,288900789","-0,4437615722"
"1,013179394","0,3356606571","-0,393842463"
"1,04948117","0,3865744485","-0,3378601896"
"1,083394272","0,4420431434","-0,2753775019"
"1,114371859","0,5024605583","-0,2059595917"
"1,141708","0,5681808583","-0,1291785264"
"1,164544801","0,6394817161","-0,04466775502"
"1,181950831","0,7165902502","0,04790226131"
"1,192794365","0,79947931","0,1486207552"
"1,195872097","0,8879847813","0,2574427872"
"1,18983071","0,981638525","0,3740275731"
"1,173302878","1,079317019","0,4973423415"
"1,144662571","1,180097465","0,6266006805"
"1,102449134","1,281959897","0,7598670178"
"1,04564991","1,381816093","0,8940275757"
"0,9734050749","1,476640685","1,026017651"
"0,8849792367","1,562858328","1,152200713"
"0,7803550418","1,635831774","1,267782956"
"0,6613446815","1,691518455","1,368394975"
"0,5297616093","1,725913289","1,449705689"
"0,3880375518","1,735546804","1,507884594"
"0,2399794998","1,717594375","1,539579139"
"0,08960387512","1,672551114","1,544787583"
"-0,05923032291","1,601059977","1,52366424"
"-0,202305012","1,505176109","1,477703817"
"-0,3365075839","1,388970451","1,410444883"
"-0,4598119045","1,257121168","1,326102453"
"-0,5703406631","1,11430447","1,22889341"
"-0,6672588795","0,96540602","1,123266092"
"-0,7506892652","0,8146146042","1,013042127"
"-0,8210404119","0,6657059201","0,9016595022"
"-0,8792042999","0,5215805493","0,7917444419"
"-0,9262430086","0,384288271","0,6851275659"
"-0,9633962543","0,2557167748","0,5834941502"
"-0,9918277145","0,1365633074","0,4874485572"
"-1,012628421","0,02716809713","0,3972679961"
"-1,026843966","-0,07219828308","0,3131713069"
"-1,035507416","-0,1616185864","0,2350689379"
"-1,039395645","-0,2415210699","0,1625993732"
"-1,039180532","-0,312411364","0,09534270323"
"-1,035494618","-0,3747890209","0,03289279"
"-1,028950544","-0,4292603426","-0,02524412225"
"-1,019993235","-0,4764463795","-0,0795344743"
"-1,008946232","-0,5169263096","-0,1303813583"
"-0,9961330798","-0,5512793107","-0,1781878666"
"-0,9818577182","-0,5800653088","-0,2233357466"
"-0,9663842776","-0,603850295","-0,2661955479"
"-0,9498985635","-0,6231223207","-0,3070497673"
"-0,9325389918","-0,6383092154","-0,3461190389"
"-0,9144439786","-0,6498388085","-0,3836239967"
"-0,8957389857","-0,6581170802","-0,4197663816"
"-0,8765346171","-0,6635401498","-0,4547281807"
"-0,8568971364","-0,6664223405","-0,4886236081"
"-0,8368764952","-0,6670464569","-0,5215421704"
"-0,8165226453","-0,6656953034","-0,553573374"
"-0,7958714352","-0,6626168792","-0,5847874454"
"-0,7749679852","-0,6580955558","-0,6152613406"
"-0,7538225208","-0,6523217236","-0,6450244175"
"-0,7324353576","-0,6454590436","-0,6740930771"
"-0,7108068114","-0,6376711767","-0,7024837203"
"-0,6889371978","-0,6291217838","-0,7302127477"
"-0,6668227408","-0,6199585674","-0,7572930417"
"-0,6444549955","-0,6103257277","-0,783727751"
"-0,621817833","-0,6003330836","-0,8095129187"
"-0,5988889874","-0,5900620134","-0,8346405662"
"-0,5756461925","-0,5795938956","-0,8591027149"
